countrynewwb,codewb,year,pop_adult,regionwb24_hi,incomegroupwb24,account_t_d,capital_api,region_api,subregion_api,flag_url,local_flag_path
Afghanistan,AFG,2011,14575546.0,South Asia (excluding high income),Low income,0.09,Kabul,Asia,Southern Asia,https://flagcdn.com/w320/af.png,..\output\imagenes_procesadas\af.jpg
Albania,ALB,2011,2281010.0,Europe & Central Asia (excluding high income),Upper middle income,0.28,Tirana,Europe,Southern Europe,https://flagcdn.com/w320/al.png,..\output\imagenes_procesadas\al.jpg
Algeria,DZA,2011,26251587.0,Middle East & North Africa (excluding high income),Lower middle income,0.33,Algiers,Africa,Northern Africa,https://flagcdn.com/w320/dz.png,..\output\imagenes_procesadas\dz.jpg
Angola,AGO,2011,12779501.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.39,Luanda,Africa,Middle Africa,https://flagcdn.com/w320/ao.png,..\output\imagenes_procesadas\ao.jpg
Argentina,ARG,2011,30685516.0,Latin America & Caribbean (excluding high income),Upper middle income,0.33,Buenos Aires,Americas,South America,https://flagcdn.com/w320/ar.png,..\output\imagenes_procesadas\ar.jpg
Armenia,ARM,2011,2457011.0,Europe & Central Asia (excluding high income),Upper middle income,0.17,Yerevan,Asia,Western Asia,https://flagcdn.com/w320/am.png,..\output\imagenes_procesadas\am.jpg
Australia,AUS,2011,17830548.0,High income,High income,0.99,Canberra,Oceania,Australia and New Zealand,https://flagcdn.com/w320/au.png,..\output\imagenes_procesadas\au.jpg
Austria,AUT,2011,7123870.0,High income,High income,0.97,Vienna,Europe,Central Europe,https://flagcdn.com/w320/at.png,..\output\imagenes_procesadas\at.jpg
Azerbaijan,AZE,2011,7034188.0,Europe & Central Asia (excluding high income),Upper middle income,0.15,Baku,Asia,Western Asia,https://flagcdn.com/w320/az.png,..\output\imagenes_procesadas\az.jpg
Bahrain,BHR,2011,978145.0,High income,High income,0.65,Manama,Asia,Western Asia,https://flagcdn.com/w320/bh.png,..\output\imagenes_procesadas\bh.jpg
Bangladesh,BGD,2011,100376575.0,South Asia (excluding high income),Lower middle income,0.32,Dhaka,Asia,Southern Asia,https://flagcdn.com/w320/bd.png,..\output\imagenes_procesadas\bd.jpg
Belarus,BLR,2011,8075665.0,Europe & Central Asia (excluding high income),Upper middle income,0.59,Minsk,Europe,Eastern Europe,https://flagcdn.com/w320/by.png,..\output\imagenes_procesadas\by.jpg
Belgium,BEL,2011,9049843.0,High income,High income,0.96,Brussels,Europe,Western Europe,https://flagcdn.com/w320/be.png,..\output\imagenes_procesadas\be.jpg
Benin,BEN,2011,5496491.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.1,Porto-Novo,Africa,Western Africa,https://flagcdn.com/w320/bj.png,..\output\imagenes_procesadas\bj.jpg
Bolivia,BOL,2011,6675907.0,Latin America & Caribbean (excluding high income),Lower middle income,0.28,Sucre,Americas,South America,https://flagcdn.com/w320/bo.png,..\output\imagenes_procesadas\bo.jpg
Bosnia and Herzegovina,BIH,2011,3217823.0,Europe & Central Asia (excluding high income),Upper middle income,0.56,Sarajevo,Europe,Southern Europe,https://flagcdn.com/w320/ba.png,..\output\imagenes_procesadas\ba.jpg
Botswana,BWA,2011,1340324.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.3,Gaborone,Africa,Southern Africa,https://flagcdn.com/w320/bw.png,..\output\imagenes_procesadas\bw.jpg
Brazil,BRA,2011,145842533.0,Latin America & Caribbean (excluding high income),Upper middle income,0.56,Brasília,Americas,South America,https://flagcdn.com/w320/br.png,..\output\imagenes_procesadas\br.jpg
Bulgaria,BGR,2011,6400381.0,Europe & Central Asia (excluding high income),Upper middle income,0.53,Sofia,Europe,Eastern Europe,https://flagcdn.com/w320/bg.png,..\output\imagenes_procesadas\bg.jpg
Burkina Faso,BFA,2011,8802362.0,Sub-Saharan Africa (excluding high income),Low income,0.13,Ouagadougou,Africa,Western Africa,https://flagcdn.com/w320/bf.png,..\output\imagenes_procesadas\bf.jpg
Burundi,BDI,2011,5147947.0,Sub-Saharan Africa (excluding high income),Low income,0.07,Gitega,Africa,Eastern Africa,https://flagcdn.com/w320/bi.png,..\output\imagenes_procesadas\bi.jpg
Cambodia,KHM,2011,9675871.0,East Asia & Pacific (excluding high income),Lower middle income,0.04,Phnom Penh,Asia,South-Eastern Asia,https://flagcdn.com/w320/kh.png,..\output\imagenes_procesadas\kh.jpg
Cameroon,CMR,2011,11072780.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.15,Yaoundé,Africa,Middle Africa,https://flagcdn.com/w320/cm.png,..\output\imagenes_procesadas\cm.jpg
Canada,CAN,2011,28373521.0,High income,High income,0.96,Ottawa,Americas,Northern America,https://flagcdn.com/w320/ca.png,..\output\imagenes_procesadas\ca.jpg
Central African Republic,CAF,2011,2428582.0,Sub-Saharan Africa (excluding high income),Low income,0.03,Bangui,Africa,Middle Africa,https://flagcdn.com/w320/cf.png,..\output\imagenes_procesadas\cf.jpg
Chad,TCD,2011,6309105.0,Sub-Saharan Africa (excluding high income),Low income,0.09,N'Djamena,Africa,Middle Africa,https://flagcdn.com/w320/td.png,..\output\imagenes_procesadas\td.jpg
Chile,CHL,2011,13480066.0,High income,High income,0.42,Santiago,Americas,South America,https://flagcdn.com/w320/cl.png,..\output\imagenes_procesadas\cl.jpg
China,CHN,2011,1090576711.0,East Asia & Pacific (excluding high income),Upper middle income,0.64,Beijing,Asia,Eastern Asia,https://flagcdn.com/w320/cn.png,..\output\imagenes_procesadas\cn.jpg
Colombia,COL,2011,32481705.0,Latin America & Caribbean (excluding high income),Upper middle income,0.3,Bogotá,Americas,South America,https://flagcdn.com/w320/co.png,..\output\imagenes_procesadas\co.jpg
Comoros,COM,2011,382348.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.22,Moroni,Africa,Eastern Africa,https://flagcdn.com/w320/km.png,..\output\imagenes_procesadas\km.jpg
Costa Rica,CRI,2011,3423771.0,Latin America & Caribbean (excluding high income),Upper middle income,0.5,San José,Americas,Central America,https://flagcdn.com/w320/cr.png,..\output\imagenes_procesadas\cr.jpg
Croatia,HRV,2011,3638504.0,High income,High income,0.88,Zagreb,Europe,Southern Europe,https://flagcdn.com/w320/hr.png,..\output\imagenes_procesadas\hr.jpg
Cyprus,CYP,2011,936237.0,High income,High income,0.85,Nicosia,Europe,Southern Europe,https://flagcdn.com/w320/cy.png,..\output\imagenes_procesadas\cy.jpg
Denmark,DNK,2011,4549535.0,High income,High income,1.0,Copenhagen,Europe,Northern Europe,https://flagcdn.com/w320/dk.png,..\output\imagenes_procesadas\dk.jpg
Djibouti,DJI,2011,591971.0,Middle East & North Africa (excluding high income),Lower middle income,0.12,Djibouti,Africa,Eastern Africa,https://flagcdn.com/w320/dj.png,..\output\imagenes_procesadas\dj.jpg
Dominican Republic,DOM,2011,6788648.0,Latin America & Caribbean (excluding high income),Upper middle income,0.38,Santo Domingo,Americas,Caribbean,https://flagcdn.com/w320/do.png,..\output\imagenes_procesadas\do.jpg
Ecuador,ECU,2011,10352753.0,Latin America & Caribbean (excluding high income),Upper middle income,0.37,Quito,Americas,South America,https://flagcdn.com/w320/ec.png,..\output\imagenes_procesadas\ec.jpg
El Salvador,SLV,2011,4126198.0,Latin America & Caribbean (excluding high income),Lower middle income,0.14,San Salvador,Americas,Central America,https://flagcdn.com/w320/sv.png,..\output\imagenes_procesadas\sv.jpg
Estonia,EST,2011,1128611.0,High income,High income,0.97,Tallinn,Europe,Northern Europe,https://flagcdn.com/w320/ee.png,..\output\imagenes_procesadas\ee.jpg
