countrynewwb,codewb,year,pop_adult,regionwb24_hi,incomegroupwb24,account.t.d
Afghanistan,AFG,2011,14575546.0,South Asia (excluding high income),Low income,0.09
Albania,ALB,2011,2281010.0,Europe & Central Asia (excluding high income),Upper middle income,0.28
Algeria,DZA,2011,26251587.0,Middle East & North Africa (excluding high income),Lower middle income,0.33
Angola,AGO,2011,12779501.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.39
Argentina,ARG,2011,30685516.0,Latin America & Caribbean (excluding high income),Upper middle income,0.33
Armenia,ARM,2011,2457011.0,Europe & Central Asia (excluding high income),Upper middle income,0.17
Australia,AUS,2011,17830548.0,High income,High income,0.99
Austria,AUT,2011,7123870.0,High income,High income,0.97
Azerbaijan,AZE,2011,7034188.0,Europe & Central Asia (excluding high income),Upper middle income,0.15
Bahrain,BHR,2011,978145.0,High income,High income,0.65
Bangladesh,BGD,2011,100376575.0,South Asia (excluding high income),Lower middle income,0.32
Belarus,BLR,2011,8075665.0,Europe & Central Asia (excluding high income),Upper middle income,0.59
Belgium,BEL,2011,9049843.0,High income,High income,0.96
Benin,BEN,2011,5496491.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.1
Bolivia,BOL,2011,6675907.0,Latin America & Caribbean (excluding high income),Lower middle income,0.28
Bosnia and Herzegovina,BIH,2011,3217823.0,Europe & Central Asia (excluding high income),Upper middle income,0.56
Botswana,BWA,2011,1340324.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.3
Brazil,BRA,2011,145842533.0,Latin America & Caribbean (excluding high income),Upper middle income,0.56
Bulgaria,BGR,2011,6400381.0,Europe & Central Asia (excluding high income),Upper middle income,0.53
Burkina Faso,BFA,2011,8802362.0,Sub-Saharan Africa (excluding high income),Low income,0.13
Burundi,BDI,2011,5147947.0,Sub-Saharan Africa (excluding high income),Low income,0.07
Cambodia,KHM,2011,9675871.0,East Asia & Pacific (excluding high income),Lower middle income,0.04
Cameroon,CMR,2011,11072780.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.15
Canada,CAN,2011,28373521.0,High income,High income,0.96
Central African Republic,CAF,2011,2428582.0,Sub-Saharan Africa (excluding high income),Low income,0.03
Chad,TCD,2011,6309105.0,Sub-Saharan Africa (excluding high income),Low income,0.09
Chile,CHL,2011,13480066.0,High income,High income,0.42
China,CHN,2011,1090576711.0,East Asia & Pacific (excluding high income),Upper middle income,0.64
